Jan. 17, 2026   12:16:20
A.C. Impedance
File: d:\360movedata\users\20144\desktop\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.01
Imp SF
Amplitude (V) = 0.01
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.217e+2, -7.320e+1, 1.420e+2, -31.0
6.816e+5, 1.339e+2, -7.194e+1, 1.520e+2, -28.2
5.625e+5, 1.439e+2, -7.298e+1, 1.614e+2, -26.9
4.639e+5, 1.523e+2, -7.132e+1, 1.682e+2, -25.1
3.828e+5, 1.604e+2, -6.911e+1, 1.747e+2, -23.3
3.164e+5, 1.719e+2, -6.664e+1, 1.844e+2, -21.2
2.607e+5, 1.791e+2, -6.545e+1, 1.907e+2, -20.1
2.158e+5, 1.912e+2, -6.047e+1, 2.005e+2, -17.6
1.777e+5, 1.968e+2, -5.807e+1, 2.052e+2, -16.4
1.465e+5, 2.033e+2, -5.522e+1, 2.106e+2, -15.2
1.211e+5, 2.075e+2, -5.236e+1, 2.140e+2, -14.2
9.961e+4, 2.188e+2, -4.592e+1, 2.236e+2, -11.9
8.252e+4, 2.218e+2, -4.335e+1, 2.260e+2, -11.1
6.812e+4, 2.281e+2, -4.168e+1, 2.319e+2, -10.4
5.615e+4, 2.320e+2, -4.002e+1, 2.354e+2, -9.8
4.639e+4, 2.346e+2, -3.697e+1, 2.375e+2, -9.0
3.833e+4, 2.396e+2, -3.408e+1, 2.420e+2, -8.1
3.174e+4, 2.419e+2, -3.280e+1, 2.441e+2, -7.7
2.612e+4, 2.454e+2, -3.291e+1, 2.476e+2, -7.6
2.148e+4, 2.472e+2, -3.113e+1, 2.491e+2, -7.2
1.782e+4, 2.493e+2, -2.967e+1, 2.511e+2, -6.8
1.465e+4, 2.523e+2, -3.051e+1, 2.541e+2, -6.9
1.221e+4, 2.614e+2, -3.366e+1, 2.635e+2, -7.3
1.001e+4, 2.639e+2, -3.588e+1, 2.664e+2, -7.7
8.301e+3, 2.587e+2, -3.121e+1, 2.606e+2, -6.9
6.836e+3, 2.609e+2, -3.480e+1, 2.632e+2, -7.6
5.615e+3, 2.633e+2, -3.902e+1, 2.662e+2, -8.4
4.639e+3, 2.660e+2, -4.394e+1, 2.696e+2, -9.4
3.906e+3, 2.680e+2, -4.916e+1, 2.724e+2, -10.4
3.174e+3, 2.713e+2, -5.613e+1, 2.771e+2, -11.7
2.686e+3, 2.743e+2, -6.274e+1, 2.813e+2, -12.9
2.197e+3, 2.782e+2, -7.215e+1, 2.874e+2, -14.5
1.709e+3, 2.837e+2, -8.607e+1, 2.965e+2, -16.9
1.465e+3, 2.876e+2, -9.599e+1, 3.032e+2, -18.5
1.221e+3, 2.926e+2, -1.094e+2, 3.124e+2, -20.5
9.766e+2, 2.996e+2, -1.288e+2, 3.261e+2, -23.3
8.252e+2, 3.061e+2, -1.456e+2, 3.390e+2, -25.4
6.836e+2, 3.136e+2, -1.679e+2, 3.557e+2, -28.2
5.615e+2, 3.226e+2, -1.948e+2, 3.768e+2, -31.1
4.639e+2, 3.325e+2, -2.256e+2, 4.018e+2, -34.2
3.809e+2, 3.443e+2, -2.622e+2, 4.328e+2, -37.3
3.174e+2, 3.563e+2, -3.034e+2, 4.679e+2, -40.4
2.588e+2, 3.720e+2, -3.566e+2, 5.153e+2, -43.8
2.148e+2, 3.880e+2, -4.135e+2, 5.670e+2, -46.8
1.758e+2, 4.085e+2, -4.859e+2, 6.348e+2, -49.9
1.465e+2, 4.293e+2, -5.629e+2, 7.080e+2, -52.7
1.221e+2, 4.541e+2, -6.540e+2, 7.962e+2, -55.2
9.766e+1, 4.886e+2, -7.813e+2, 9.215e+2, -58.0
8.254e+1, 5.212e+2, -8.967e+2, 1.037e+3, -59.8
6.813e+1, 5.654e+2, -1.052e+3, 1.194e+3, -61.7
