Jan. 17, 2026   15:14:52
A.C. Impedance
File: d:\360movedata\users\20144\desktop\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.01
Imp SF
Amplitude (V) = 0.01
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 6.886e+1, -3.818e+1, 7.874e+1, -29.0
6.816e+5, 7.572e+1, -3.948e+1, 8.540e+1, -27.5
5.625e+5, 8.172e+1, -4.057e+1, 9.124e+1, -26.4
4.639e+5, 8.782e+1, -4.109e+1, 9.695e+1, -25.1
3.828e+5, 9.470e+1, -3.973e+1, 1.027e+2, -22.8
3.164e+5, 9.942e+1, -4.018e+1, 1.072e+2, -22.0
2.607e+5, 1.053e+2, -3.971e+1, 1.126e+2, -20.7
2.158e+5, 1.101e+2, -3.959e+1, 1.170e+2, -19.8
1.777e+5, 1.154e+2, -3.818e+1, 1.216e+2, -18.3
1.465e+5, 1.203e+2, -3.741e+1, 1.259e+2, -17.3
1.211e+5, 1.248e+2, -3.558e+1, 1.297e+2, -15.9
9.961e+4, 1.292e+2, -2.980e+1, 1.326e+2, -13.0
8.252e+4, 1.336e+2, -3.008e+1, 1.370e+2, -12.7
6.812e+4, 1.379e+2, -2.950e+1, 1.410e+2, -12.1
5.615e+4, 1.413e+2, -2.886e+1, 1.442e+2, -11.5
4.639e+4, 1.448e+2, -2.838e+1, 1.475e+2, -11.1
3.833e+4, 1.483e+2, -2.825e+1, 1.510e+2, -10.8
3.174e+4, 1.514e+2, -2.714e+1, 1.538e+2, -10.2
2.612e+4, 1.540e+2, -2.731e+1, 1.564e+2, -10.1
2.148e+4, 1.566e+2, -2.720e+1, 1.589e+2, -9.9
1.782e+4, 1.592e+2, -2.711e+1, 1.615e+2, -9.7
1.465e+4, 1.616e+2, -2.754e+1, 1.639e+2, -9.7
1.221e+4, 1.634e+2, -2.857e+1, 1.659e+2, -9.9
1.001e+4, 1.654e+2, -2.793e+1, 1.677e+2, -9.6
8.301e+3, 1.687e+2, -3.070e+1, 1.715e+2, -10.3
6.836e+3, 1.711e+2, -3.275e+1, 1.742e+2, -10.8
5.615e+3, 1.736e+2, -3.509e+1, 1.771e+2, -11.4
4.639e+3, 1.759e+2, -3.834e+1, 1.800e+2, -12.3
3.906e+3, 1.787e+2, -4.148e+1, 1.834e+2, -13.1
3.174e+3, 1.818e+2, -4.614e+1, 1.875e+2, -14.2
2.686e+3, 1.844e+2, -5.071e+1, 1.913e+2, -15.4
